City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,Tezu,27.9167,96.1667,78.39,93,88,2.37,IN,2022-08-16 01:04:15
508,Victoria Point,-27.5833,153.3,69.12,54,0,1.99,AU,2022-08-16 01:04:15
509,Talakan,50.3167,130.3667,73.8,58,0,5.99,RU,2022-08-16 01:01:54
510,Forrest City,35.0081,-90.7898,79.86,70,1,9.62,US,2022-08-16 01:04:16
511,Morros,-9.4467,-46.3003,72.19,39,0,3.71,BR,2022-08-16 01:04:16
512,Innisfail,-17.5333,146.0333,72.91,45,2,4.16,AU,2022-08-16 01:00:32
513,Tarut,26.5733,50.0369,89.8,53,9,0.4,SA,2022-08-16 01:04:17
514,Markala,13.7021,-6.0659,79.29,76,100,12.75,ML,2022-08-16 01:04:17
515,Salta,-24.7859,-65.4117,58.57,53,0,4.0,AR,2022-08-16 01:04:18
516,Ranchi,23.35,85.3333,71.58,93,100,8.43,IN,2022-08-16 01:04:18
517,Kununurra,-15.7667,128.7333,80.58,13,11,6.91,AU,2022-08-16 01:01:56
518,Chapais,49.7834,-74.8492,58.06,88,98,3.65,CA,2022-08-16 01:04:19
519,Lazaro Cardenas,17.9583,-102.2,81.09,78,100,2.64,MX,2022-08-16 01:04:19
520,Mayor Pablo Lagerenza,-19.9309,-60.7718,88.61,29,1,12.3,PY,2022-08-16 01:04:19
521,Swan Hill,-35.3378,143.5544,57.72,64,69,16.02,AU,2022-08-16 01:04:20
522,Marsa Matruh,31.3525,27.2453,76.75,71,0,8.37,EG,2022-08-16 01:04:20
523,Tazovskiy,67.4667,78.7,44.73,93,100,14.41,RU,2022-08-16 01:04:21
524,Bani Walid,31.7566,13.9942,82.89,38,0,7.31,LY,2022-08-16 01:04:21
525,Khovu-Aksy,51.1333,93.6,50.58,73,74,2.77,RU,2022-08-16 01:04:22
526,Maxixe,-23.8597,35.3472,60.08,69,0,6.69,MZ,2022-08-16 01:03:09
527,Marion,39.7684,-86.1555,73.78,73,75,8.05,US,2022-08-16 01:04:22
528,Luderitz,-26.6481,15.1594,56.88,49,2,5.77,NA,2022-08-16 01:04:23
529,Chibombo,-14.6569,28.0706,62.42,33,97,4.5,ZM,2022-08-16 01:04:23
530,Shagonar,51.5333,92.8,57.51,57,31,1.28,RU,2022-08-16 01:04:23
531,Hofn,64.2539,-15.2082,48.16,66,13,5.7,IS,2022-08-16 01:04:24
532,Mersing,2.4312,103.8405,80.31,82,100,5.08,MY,2022-08-16 01:04:24
533,Oyama,36.3,139.8,90.59,50,100,5.75,JP,2022-08-16 01:04:25
534,Sorbhog,26.5,90.8667,81.28,84,11,6.96,IN,2022-08-16 01:04:25
535,Soyo,-6.1349,12.3689,69.31,88,97,2.01,AO,2022-08-16 01:04:25
536,Panaba,21.2833,-88.2667,77.45,84,16,10.02,MX,2022-08-16 01:04:26
537,Brotas,-22.2842,-48.1267,67.69,40,3,3.94,BR,2022-08-16 01:04:26
538,Yoichi,43.2039,140.7703,72.01,98,100,3.47,JP,2022-08-16 01:04:27
539,Sladkovicovo,48.2014,17.6385,73.98,59,4,5.06,SK,2022-08-16 01:04:27
540,Varnamo,57.186,14.04,67.26,92,84,1.01,SE,2022-08-16 01:04:27
541,Morgan City,29.6994,-91.2068,86.0,77,7,5.86,US,2022-08-16 01:03:59
542,Bonthe,7.5264,-12.505,75.69,93,100,14.74,SL,2022-08-16 01:03:08
543,Lappeenranta,61.0587,28.1887,66.25,88,87,5.75,FI,2022-08-16 01:04:28
544,Malakal,9.5334,31.6605,69.71,94,100,1.77,SS,2022-08-16 01:04:29
545,Boende,-0.2167,20.8667,72.7,69,98,2.82,CD,2022-08-16 01:04:29
546,Chicama,-7.8447,-79.1469,57.74,84,60,6.78,PE,2022-08-16 01:04:29
547,Ranfurly,-45.1333,170.1,55.11,67,21,2.37,NZ,2022-08-16 01:04:30
548,Carlyle,38.6103,-89.3726,75.22,79,94,3.22,US,2022-08-16 01:05:30
549,Portland,45.5234,-122.6762,90.93,40,0,8.05,US,2022-08-16 01:05:31
550,Half Moon Bay,37.4636,-122.4286,95.54,70,0,19.57,US,2022-08-16 01:05:31
551,Ust-Kuyga,70.0167,135.6,64.29,51,94,4.21,RU,2022-08-16 01:05:31
552,Andover,51.2083,-1.4825,65.52,93,98,1.99,GB,2022-08-16 01:01:19
553,Belmonte,-15.8631,-38.8828,70.38,85,64,6.69,BR,2022-08-16 01:05:32
554,Tarboro,35.8968,-77.5358,70.18,88,100,3.44,US,2022-08-16 01:04:57
555,Lakatoro,-16.0999,167.4164,81.77,78,37,14.41,VU,2022-08-16 01:05:32
556,Jawhar,2.7809,45.5005,72.07,88,9,10.56,SO,2022-08-16 01:05:33
557,Paso De Carrasco,-34.8603,-56.0522,53.94,53,0,10.36,UY,2022-08-16 01:05:33
558,Kambove,-10.8764,26.5969,59.85,33,24,4.16,CD,2022-08-16 01:05:34
559,Camopi,3.1655,-52.3158,72.36,87,90,2.62,GF,2022-08-16 01:05:34
560,Cabinda,-5.55,12.2,69.19,85,98,3.0,AO,2022-08-16 01:05:35
561,Buta,2.7858,24.73,68.79,100,100,2.28,CD,2022-08-16 01:05:35
562,Lorengau,-2.0226,147.2712,84.16,59,100,5.64,PG,2022-08-16 01:05:35
563,Lima,-12.0432,-77.0282,60.91,82,35,7.67,PE,2022-08-16 01:02:40
564,At-Bashi,41.1702,75.8106,62.67,61,100,1.5,KG,2022-08-16 01:05:36
565,Trelew,-43.249,-65.3051,50.52,45,100,25.75,AR,2022-08-16 01:05:36
566,Tura,25.5198,90.2201,76.48,95,30,4.07,IN,2022-08-16 01:05:37
567,Verkh-Usugli,52.7,115.1667,64.72,71,98,3.78,RU,2022-08-16 01:05:37
568,Pokhara,28.2333,83.9833,72.73,92,95,1.28,NP,2022-08-16 01:05:38
569,Baykit,61.67,96.37,53.31,93,100,1.05,RU,2022-08-16 01:05:38
570,Clarksburg,39.2807,-80.3445,70.25,87,40,5.75,US,2022-08-16 01:05:38
571,Belen,36.4891,36.2233,69.94,78,0,12.66,TR,2022-08-16 01:05:39
