City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Iquitos,PE,73.44,shower rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
358,Bardiyah,LY,79.11,clear sky,31.7561,25.0865,بورتو بردية
359,Hondo,JP,83.82,overcast clouds,32.45,130.2,ホテル河丁
360,Nong Khai,TH,75.29,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
361,Alofi,NU,73.29,clear sky,-19.0595,-169.9187,Taloa Heights
362,San Juan Del Sur,NI,88.02,few clouds,11.2529,-85.8705,Nuestra Casa
363,Portland,US,89.49,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
364,Port Blair,IN,81.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
365,Komsomolskiy,UZ,72.32,clear sky,40.4272,71.7189,Ikathouse
368,Ambikapur,IN,72.84,light rain,23.1167,83.2,Hotel Birendra Prabha
369,Korla,CN,75.72,clear sky,41.7597,86.1469,Gulisitan Hotel
373,Salinopolis,BR,80.15,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
374,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
375,Corrente,BR,80.15,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
377,Nantucket,US,82.51,clear sky,41.2835,-70.0995,Jared Coffin House
380,Soyo,AO,70.09,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
383,Houma,US,82.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
385,Ajdabiya,LY,81.14,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
388,Mouzouras,GR,78.8,clear sky,35.5333,24.15,Areti Suites
390,Tautira,PF,77.18,overcast clouds,-17.7333,-149.15,Pension Oaoa
391,Divnomorskoye,RU,71.01,clear sky,44.5011,38.1353,Primorskiy
392,Dores Do Indaia,BR,75.02,few clouds,-19.4633,-45.6017,Hotel Central Dorense
393,Virginia Beach,US,82.42,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
394,Luganville,VU,79.72,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
397,Kenora,CA,76.17,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
399,Raton,US,79.05,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
400,Basco,PH,84.6,clear sky,20.4487,121.9702,Nathaniel's Lodge
401,Filingue,NE,81.55,scattered clouds,14.3521,3.3168,
403,Nara,JP,83.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
406,Sarangani,PH,82.71,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
