City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Manica,FR,49.0,-1.1667,52.9,93,2,2.8,clear sky
226,Jipijapa,EC,-1.3333,-80.5833,74.7,74,56,8.59,broken clouds
227,Norfolk,US,42.1668,-71.2495,90.1,38,40,3.44,scattered clouds
228,Arlit,NE,18.7369,7.3853,95.38,27,77,13.22,broken clouds
229,Marquette,US,46.5333,-87.6335,70.41,76,74,1.07,broken clouds
230,Mount Gambier,AU,-37.8333,140.7667,48.92,83,79,6.87,broken clouds
231,Wagar,SD,16.1525,36.2032,80.22,61,100,15.73,overcast clouds
232,Norrtalje,SE,59.758,18.705,69.98,96,97,5.14,overcast clouds
233,Port Hawkesbury,CA,45.6169,-61.3485,72.79,86,0,5.75,clear sky
234,Hithadhoo,MV,-0.6,73.0833,80.6,78,100,9.22,overcast clouds
235,Padang,ID,-0.9492,100.3543,75.25,89,100,4.09,overcast clouds
236,Nome,US,64.5011,-165.4064,55.17,62,75,9.22,broken clouds
237,Zheleznodorozhnyy,RU,55.7503,38.0042,68.61,62,86,7.74,overcast clouds
238,Bafia,CM,4.75,11.2333,66.65,98,100,1.9,overcast clouds
239,Carauari,BR,-4.8828,-66.8958,74.97,82,100,3.91,moderate rain
240,Yulara,AU,-25.2406,130.9889,50.88,41,0,9.64,clear sky
241,Lebu,CL,-37.6167,-73.65,50.18,93,79,17.43,broken clouds
242,Bairiki,KI,1.3292,172.9752,80.38,75,6,5.75,clear sky
243,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.0,73,2,10.18,clear sky
244,Lucea,JM,18.451,-78.1736,85.86,73,94,5.48,overcast clouds
245,Bissau,GW,11.8636,-15.5977,77.11,94,75,9.22,thunderstorm with light rain
246,Hobyo,SO,5.3505,48.5268,76.32,88,96,24.25,overcast clouds
247,Clyde River,CA,70.4692,-68.5914,39.43,93,20,14.97,few clouds
248,Caibarien,CU,22.5206,-79.4669,87.12,75,5,16.02,clear sky
249,Mount Barker,AU,-35.0667,138.8667,52.03,96,69,5.84,broken clouds
250,Along,IN,28.1667,94.7667,74.5,93,100,1.5,overcast clouds
251,Katsuura,JP,35.1333,140.3,77.02,83,100,7.65,overcast clouds
252,Iranshahr,IR,27.2025,60.6848,89.33,43,76,1.92,broken clouds
253,Qaqortoq,GL,60.7167,-46.0333,44.76,61,86,7.61,overcast clouds
254,Yatou,CN,37.15,122.3833,73.4,87,82,11.36,broken clouds
255,Flinders,AU,-34.5833,150.8552,57.18,60,68,14.0,broken clouds
256,Saint-Georges,GD,12.0564,-61.7485,83.88,79,20,13.8,few clouds
257,Nuuk,GL,64.1835,-51.7216,45.21,76,75,17.27,broken clouds
258,Sovetskiy,RU,61.3614,63.5842,62.2,81,88,7.76,overcast clouds
259,Alencon,FR,48.4333,0.0833,52.74,93,0,4.25,clear sky
260,Coruripe,BR,-10.1256,-36.1756,71.55,70,0,8.9,clear sky
261,Nikolskoye,RU,59.7035,30.7861,64.78,75,7,5.39,clear sky
262,College,US,64.8569,-147.8028,61.29,70,75,4.61,broken clouds
263,Synya,RU,65.3718,58.0387,50.92,92,81,3.36,broken clouds
264,Half Moon Bay,US,37.4636,-122.4286,89.58,76,100,20.71,mist
265,Gushikawa,JP,26.3544,127.8686,85.23,84,0,6.91,clear sky
266,Golden,US,39.7555,-105.2211,82.36,39,95,4.0,overcast clouds
267,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,8.05,light rain
268,Gigmoto,PH,13.7796,124.39,81.27,81,93,1.32,overcast clouds
269,Napoleon,US,41.3923,-84.1252,84.24,56,66,9.51,broken clouds
270,Lorengau,PG,-2.0226,147.2712,81.84,76,50,7.76,scattered clouds
271,Kilindoni,TZ,-7.9139,39.6668,74.75,74,0,13.04,clear sky
272,Sabang,ID,5.8933,95.3214,83.01,72,93,13.89,overcast clouds
273,Baykit,RU,61.67,96.37,49.57,85,100,1.72,overcast clouds
274,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,84.58,29,39,2.48,scattered clouds
275,Takestan,IR,36.0696,49.6959,66.33,39,0,8.81,clear sky
276,San Quintin,MX,30.4833,-115.95,73.76,72,22,12.06,few clouds
277,San Lorenzo,PY,-25.3333,-57.5333,56.34,38,0,3.44,clear sky
278,Chipinge,ZW,-20.1883,32.6236,58.01,41,23,1.74,few clouds
279,Port Hardy,CA,50.6996,-127.4199,59.18,94,75,6.91,mist
280,Naze,JP,28.3667,129.4833,83.32,80,100,15.12,overcast clouds
281,Egvekinot,RU,66.3167,-179.1667,40.71,61,79,2.35,broken clouds
282,Riberalta,BO,-10.9833,-66.1,71.8,49,100,16.11,overcast clouds
283,Maceio,BR,-9.6658,-35.7353,76.44,69,40,3.44,scattered clouds
284,Malinovskiy,RU,61.1953,62.8397,63.46,77,73,8.88,broken clouds
285,Lompoc,US,34.6391,-120.4579,74.84,73,0,17.27,mist
286,Shenkursk,RU,62.1091,42.896,57.02,73,0,5.53,clear sky
287,Yagodnoye,RU,62.55,149.6667,57.67,76,65,7.96,light rain
288,Alta Floresta,BR,-9.8756,-56.0861,83.82,40,51,9.57,broken clouds
289,Jardim,BR,-21.4803,-56.1381,50.65,63,41,5.35,scattered clouds
290,Palmer,US,42.1584,-72.3287,89.2,46,20,8.05,few clouds
291,Hualmay,PE,-11.0964,-77.6139,62.85,79,10,10.85,clear sky
292,Tucuman,AR,-26.8241,-65.2226,57.2,33,0,4.61,clear sky
293,Todos Santos,MX,23.45,-110.2167,85.05,82,57,8.84,broken clouds
294,Turbat,PK,26.0023,63.044,82.33,74,93,3.6,overcast clouds
295,Lejanias,CO,3.5251,-74.0216,72.48,92,100,1.99,overcast clouds
296,Tuatapere,NZ,-46.1333,167.6833,54.12,60,50,4.94,scattered clouds
297,Suzhou,CN,31.3114,120.6181,87.46,70,100,1.23,overcast clouds
298,Acarau,BR,-2.8856,-40.12,77.86,78,25,11.99,scattered clouds
299,Mangrol,IN,21.1167,70.1167,80.29,87,94,14.5,overcast clouds
300,Moundou,TD,8.5667,16.0833,71.69,95,51,1.68,broken clouds
301,Eirunepe,BR,-6.6603,-69.8736,72.46,71,65,3.31,broken clouds
302,Saint Anthony,US,45.0205,-93.218,73.0,82,0,11.5,clear sky
303,Kikwit,CD,-5.041,18.8162,81.91,39,40,1.83,scattered clouds
304,Kloulklubed,PW,7.0419,134.2556,75.7,73,39,3.15,scattered clouds
305,Tyrma,RU,50.0833,132.1667,55.42,87,68,1.59,broken clouds
306,Mehamn,NO,71.0357,27.8492,64.35,82,75,12.66,broken clouds
307,Seoul,KR,37.5683,126.9778,79.99,91,75,6.91,mist
308,Bonavista,CA,48.6499,-53.1147,65.98,82,2,19.71,clear sky
309,Petit Goave,HT,18.4314,-72.8669,84.31,73,34,3.18,scattered clouds
310,Sambava,MG,-14.2667,50.1667,66.72,90,24,8.08,light rain
311,Paragominas,BR,-2.9667,-47.4833,79.47,64,93,6.53,overcast clouds
